Lista Master:
ID:,Artista,Nombre,Genero,Duracion
0,ColdPLay,Soomebody,Tecno,3:40
1,Laura,Mouse,Trap,4:0
2,Gabriel,Me komo mi kk,Bashata,2:00
3,asdas,das,asdas,21312



Playlist #0: Rico
ID:,Artista,Nombre,Genero,Duracion
	 0,ColdPLay,Soomebody,Tecno,3:40
	 1,Laura,Mouse,Trap,4:0
	 2,Gabriel,Me komo mi kk,Bashata,2:00

Playlist #1: Diparates
ID:,Artista,Nombre,Genero,Duracion
	 2,Gabriel,Me komo mi kk,Bashata,2:00

Playlist #2: CON EL LAPI NO
ID:,Artista,Nombre,Genero,Duracion

Playlist #3: HOLA QUE HACES EQUISDE
ID:,Artista,Nombre,Genero,Duracion
	 0,ColdPLay,Soomebody,Tecno,3:40
	 1,Laura,Mouse,Trap,4:0

Playlist #4: Con el lapi no
ID:,Artista,Nombre,Genero,Duracion

Playlist #5: PLAYLIST DE PRUEBA
ID:,Artista,Nombre,Genero,Duracion
	 0,ColdPLay,Soomebody,Tecno,3:40
	 1,Laura,Mouse,Trap,4:0

Playlist #6: sEGUNDO PLAYLIST DE PREUBA
ID:,Artista,Nombre,Genero,Duracion
	 0,ColdPLay,Soomebody,Tecno,3:40
	 0,ColdPLay,Soomebody,Tecno,3:40

Playlist #7: Queso
ID:,Artista,Nombre,Genero,Duracion
	 2,Gabriel,Me komo mi kk,Bashata,2:00

